max_LAI,final_biomass,final_yield,Model
6.56678838328564,9523.32369756479,4351.03579492992,APSIM
6.59182707220138,8844.47287225674,3842.1518371729,APSIM
6.82671499553874,10254.51459669993,4589.56064962533,APSIM
6.22490839630675,7487.859142843261,2617.40791816853,APSIM
6.35679794437514,9038.2979236127,3708.59581231337,APSIM
6.82672386478234,10100.60005482783,4406.29528992858,APSIM
6.57647550638033,8347.03442058881,3368.72381304225,APSIM
6.82671499553874,10254.51459669993,4589.56590331367,APSIM
4.67246776168208,4488.46074600619,651.433606971766,APSIM
6.43948063895145,8992.447524777092,3883.5221362152,APSIM
6.64675893770914,9093.48122692697,3809.36703742789,APSIM
6.52715668783506,9436.94226950261,4258.31774885922,APSIM
6.7522013631235,9734.06661042797,4197.48162813037,APSIM
6.5055768999816,9440.16865810332,4336.48557966296,APSIM
6.35679794437514,9038.2979236127,3708.59581231337,APSIM
6.9354204040443,10695.87963180001,4819.02938427991,APSIM
6.82672386478234,10100.60005482783,4406.29491860158,APSIM
6.6311528182114,9346.58952506467,3676.92985229592,APSIM
6.59183351859199,8844.86828363668,3842.21411124046,APSIM
6.96235811858047,10723.403867681991,4873.99730269019,APSIM
6.6311528182114,9346.58952506467,3676.92985229592,APSIM
6.48260359931525,8242.42568540998,3499.27402454877,APSIM
6.7522013631235,9734.06661042797,4197.48159194824,APSIM
6.56678838328564,9523.32369756479,4351.03579492992,APSIM
5.40729280671234,6321.008477189473,1273.00139798959,APSIM
6.53004664104036,9462.9417917399,4140.09775930317,APSIM
6.68179093552836,8733.256324826729,3646.2129737616,APSIM
4.67246776168208,4488.46074600619,651.433606971766,APSIM
6.53004664104036,9462.9417917399,4140.09776499031,APSIM
6.57647550638033,8347.03442058881,3368.72381304225,APSIM
6.15473902544813,7525.49405750843,2945.99650407664,APSIM
6.9354204040443,10695.87963180001,4819.02969192455,APSIM
6.56173006585743,9789.51560558011,4462.41438831382,APSIM
6.43948063895145,8992.447524777092,3883.52238389839,APSIM
6.68179093552836,8733.256324826729,3646.21324967612,APSIM
6.48260359931525,8242.42568540998,3499.27402454877,APSIM
6.5055768999816,9440.16865810332,4336.48557966296,APSIM
6.22490839630675,7487.859142843261,2617.40791816853,APSIM
6.64675893770914,9093.48122692697,3809.36703742789,APSIM
6.56173006585743,9789.51560558011,4462.41202130079,APSIM
6.52715668783506,9436.94226950261,4258.31774187714,APSIM
6.96235811858047,10723.403867681991,4873.99730267209,APSIM
4.84849951014544,4817.28879778298,726.20919007065,APSIM
6.15473902544813,7525.49405750843,2945.99650407664,APSIM
4.304043427653183,9067.464365390948,5381.532888867398,WOFOST
4.304043427653183,9067.464365390948,5381.532888867398,WOFOST
4.347859353612728,9210.374095550414,5542.312911720767,WOFOST
4.347859353612728,9210.374095550414,5542.312911720767,WOFOST
4.551885692190469,9637.511921649431,5666.885482904807,WOFOST
4.551885692190469,9637.511921649431,5666.885482904807,WOFOST
3.626926644717303,8095.597015126969,5007.421141180337,WOFOST
3.626926644717303,8095.597015126969,5007.421141180337,WOFOST
4.273097850098443,9229.512339990728,5436.433523988917,WOFOST
4.273097850098443,9229.512339990728,5436.433523988917,WOFOST
2.7694252714979974,4479.373794001578,2123.5914869012668,WOFOST
2.7694252714979974,4479.373794001578,2123.5914869012668,WOFOST
3.3639812234553745,5217.961532661931,2059.4565015331123,WOFOST
3.3639812234553745,5217.961532661931,2059.4565015331123,WOFOST
3.752713437839716,7514.512438212519,4293.220847713454,WOFOST
3.752713437839716,7514.512438212519,4293.220847713454,WOFOST
4.221288037814772,8680.884415284809,5269.976460943378,WOFOST
4.221288037814772,8680.884415284809,5269.976460943378,WOFOST
3.910310609236526,7630.207806375829,4457.850720167708,WOFOST
3.910310609236526,7630.207806375829,4457.850720167708,WOFOST
4.5821218716559216,9219.659161513866,5524.574757016415,WOFOST
4.5821218716559216,9219.659161513866,5524.574757016415,WOFOST
3.1972732072600074,5204.88491873067,2489.483163352008,WOFOST
3.1972732072600074,5204.88491873067,2489.483163352008,WOFOST
3.6954922506641177,6242.175991769593,3135.7792068034228,WOFOST
3.6954922506641177,6242.175991769593,3135.7792068034228,WOFOST
3.3522886235313294,6169.496515370463,3300.930760184812,WOFOST
3.3522886235313294,6169.496515370463,3300.930760184812,WOFOST
3.179364065819763,7004.432657101845,4315.000048138984,WOFOST
3.179364065819763,7004.432657101845,4315.000048138984,WOFOST
3.166812092474776,4414.734764190881,1763.0409724784668,WOFOST
3.166812092474776,4414.734764190881,1763.0409724784668,WOFOST
3.9376850858756254,7048.187193853024,3650.395255346451,WOFOST
3.9376850858756254,7048.187193853024,3650.395255346451,WOFOST
3.499034672810442,6858.49080072587,3717.5891480887344,WOFOST
3.499034672810442,6858.49080072587,3717.5891480887344,WOFOST
4.256136491567049,8436.635510107184,4966.443517374443,WOFOST
4.256136491567049,8436.635510107184,4966.443517374443,WOFOST
4.080388765536557,8822.224263115982,5413.591442510861,WOFOST
4.080388765536557,8822.224263115982,5413.591442510861,WOFOST
4.295398862066191,9163.624936870592,5558.35200505159,WOFOST
4.295398862066191,9163.624936870592,5558.35200505159,WOFOST
4.285397862066118,9163.754675340592,5568.45267895765,WOFOST
4.276754824674594,9162.887658975436,5578.67854567435,WOFOST
